@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
0, 8, 9, 8, 7, 6, 15, 13, 15, East, -32, -33, West
0, 9, 9, 8, 9, 5, 15, 13, 15, East, -33, -34, West
0, 9, 9, 10, 9, 4, 15, 13, 15, East, -34, -35, West
0, 11, 9, 10, 11, 3, 15, 12, 15, East, -35, -36, West
0, 13, 11, 12, 13, 2, 15, 13, 15, East, -36, -37, West
0, 11, 11, 12, 11, 3, 15, 14, 15, East, -37, -38, East
0, 9, 9, 11, 9, 4, 15, 13, 15, East, -38, -39, East
0, 9, 9, 9, 9, 5, 15, 14, 15, East, -39, -40, East
0, 8, 8, 9, 9, 6, 15, 14, 15, East, -40, -41, East
0, 7, 7, 9, 8, 7, 15, 14, 15, East, -41, -42, East
0, 6, 5, 7, 7, 8, 15, 13, 15, East, -42, -43, East
0, 6, 5, 7, 7, 8, 14, 12, 15, East, -43, -44, South
0, 6, 6, 7, 9, 8, 13, 12, 15, East, -44, -45, South
0, 8, 6, 9, 9, 8, 12, 11, 15, East, -45, -46, South
0, 8, 4, 8, 9, 8, 13, 10, 15, East, -46, -47, North
0, 8, 3, 6, 7, 8, 14, 10, 15, East, -47, -48, North
0, 6, 2, 5, 7, 8, 15, 10, 15, East, -48, -49, North
0, 6, 4, 5, 7, 8, 16, 11, 15, East, -49, -50, North
0, 6, 4, 7, 5, 8, 17, 10, 15, East, -50, -51, North
0, 6, 3, 6, 5, 9, 17, 10, 15, South, -51, -52, East
0, 5, 2, 4, 5, 10, 17, 10, 15, South, -52, -53, East
0, 4, 3, 2, 4, 11, 17, 13, 17, East, -53, 146, East
0, 3, 3, 0, 4, 12, 17, 15, 17, East, 146, 145, East
0, 3, 3, 0, 4, 13, 17, 15, 18, East, 145, 144, East
0, 1, 3, 0, 4, 14, 17, 15, 17, East, 144, 343, East
0, 0, 1, 0, 3, 14, 16, 14, 15, South, 343, 342, South
0, 0, 1, 0, 5, 13, 16, 13, 15, South, 342, 341, West
0, 0, 1, 0, 3, 14, 16, 14, 15, South, 341, 340, East
0, 0, 1, 0, 3, 13, 16, 13, 15, South, 340, 539, West
0, 0, 0, 0, 3, 13, 15, 16, 15, East, 539, 538, South
0, 0, 0, 0, 3, 14, 15, 17, 15, East, 538, 537, East
0, 0, 0, 0, 2, 15, 15, 17, 15, East, 537, 736, East
0, 0, 0, 0, 0, 16, 15, 1, 1, West, 736, 736, East

0, 12, 24, 27, 28, 2, 18, 5, 9, South, -1, -2, East
0, 11, 23, 26, 27, 3, 18, 5, 9, South, -2, -3, East
0, 10, 22, 25, 26, 4, 18, 5, 9, South, -3, -4, East
0, 9, 21, 24, 25, 5, 18, 5, 9, South, -4, -5, East
0, 10, 20, 23, 24, 6, 18, 5, 9, South, -5, -6, East
0, 9, 21, 24, 25, 5, 18, 5, 9, South, -6, -7, West
0, 10, 22, 25, 26, 4, 18, 5, 9, South, -7, -8, West
0, 11, 23, 26, 27, 3, 18, 5, 9, South, -8, -9, West
0, 12, 24, 27, 28, 2, 18, 5, 9, South, -9, -10, West
0, 11, 23, 26, 27, 3, 18, 5, 9, South, -10, -11, East
0, 10, 22, 25, 26, 4, 18, 5, 9, South, -11, -12, East
0, 9, 21, 24, 25, 5, 18, 5, 9, South, -12, -13, East
0, 10, 20, 23, 24, 6, 18, 5, 9, South, -13, -14, East
0, 9, 21, 24, 25, 5, 18, 5, 9, South, -14, -15, West
0, 10, 22, 25, 26, 4, 18, 5, 9, South, -15, -16, West
0, 11, 23, 26, 27, 3, 18, 5, 9, South, -16, -17, West
0, 12, 24, 27, 28, 2, 18, 5, 9, South, -17, -18, West
0, 13, 25, 28, 29, 1, 18, 5, 9, South, -18, -19, West
0, 12, 24, 27, 28, 1, 17, 5, 9, South, -19, -20, South
0, 11, 23, 26, 27, 1, 16, 5, 9, South, -20, -21, South
0, 10, 22, 25, 26, 2, 16, 5, 9, South, -21, -22, East
0, 9, 21, 24, 25, 3, 16, 5, 9, South, -22, -23, East
0, 8, 20, 23, 24, 4, 16, 5, 9, South, -23, -24, East
0, 7, 19, 22, 23, 5, 16, 5, 9, South, -24, -25, East
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -25, -26, South
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -26, -27, South
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -27, -28, West
0, 7, 19, 22, 23, 4, 15, 5, 9, South, -28, -29, North
0, 8, 20, 23, 24, 4, 16, 5, 9, South, -29, -30, North
0, 7, 19, 22, 23, 5, 16, 5, 9, South, -30, -31, East
0, 8, 18, 21, 22, 6, 16, 5, 9, South, -31, -32, East
0, 7, 17, 20, 21, 6, 15, 5, 9, South, -32, -33, South
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -33, -34, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -34, -35, South
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -35, -36, West
0, 7, 19, 22, 23, 3, 14, 5, 9, South, -36, -37, West
0, 8, 20, 23, 24, 2, 14, 5, 9, South, -37, -38, West
0, 9, 21, 24, 25, 2, 15, 5, 9, South, -38, -39, North
0, 10, 22, 25, 26, 2, 16, 5, 9, South, -39, -40, North
0, 9, 21, 24, 25, 3, 16, 5, 9, South, -40, -41, East
0, 8, 20, 23, 24, 4, 16, 5, 9, South, -41, -42, East
0, 7, 19, 22, 23, 5, 16, 5, 9, South, -42, -43, East
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -43, -44, South
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -44, -45, South
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -45, -46, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -46, -47, East
0, 8, 14, 17, 18, 8, 14, 5, 9, South, -47, -48, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -48, -49, West
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -49, -50, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -50, -51, West
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -51, -52, West
0, 7, 19, 22, 23, 3, 14, 5, 9, South, -52, -53, West
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -53, -54, East
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -54, -55, East
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -55, -56, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -56, -57, East
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -57, -58, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -58, -59, West
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -59, -60, North
0, 7, 19, 22, 23, 5, 16, 5, 9, South, -60, -61, North
0, 8, 18, 21, 22, 6, 16, 5, 9, South, -61, -62, East
0, 7, 19, 22, 23, 5, 16, 5, 9, South, -62, -63, West
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -63, -64, South
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -64, -65, South
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -65, -66, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -66, -67, East
0, 8, 14, 17, 18, 8, 14, 5, 9, South, -67, -68, East
0, 9, 15, 18, 19, 8, 15, 5, 9, South, -68, -69, North
0, 8, 16, 19, 20, 7, 15, 5, 9, South, -69, -70, West
0, 7, 17, 20, 21, 6, 15, 5, 9, South, -70, -71, West
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -71, -72, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -72, -73, South
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -73, -74, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -74, -75, East
0, 8, 16, 19, 20, 7, 15, 5, 9, South, -75, -76, North
0, 9, 17, 20, 21, 7, 16, 5, 9, South, -76, -77, North
0, 10, 16, 19, 20, 8, 16, 5, 9, South, -77, -78, East
0, 9, 15, 18, 19, 8, 15, 5, 9, South, -78, -79, South
0, 8, 16, 19, 20, 7, 15, 5, 9, South, -79, -80, West
0, 7, 17, 20, 21, 6, 15, 5, 9, South, -80, -81, West
0, 6, 18, 21, 22, 5, 15, 5, 9, South, -81, -82, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -82, -83, South
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -83, -84, West
0, 7, 19, 22, 23, 3, 14, 5, 9, South, -84, -85, West
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -85, -86, East
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -86, -87, East
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -87, -88, East
0, 7, 15, 18, 19, 7, 14, 5, 9, South, -88, -89, East
0, 6, 16, 19, 20, 6, 14, 5, 9, South, -89, -90, West
0, 5, 17, 20, 21, 5, 14, 5, 9, South, -90, -91, West
0, 6, 18, 21, 22, 4, 14, 5, 9, South, -91, -92, West
0, 7, 19, 22, 23, 4, 15, 5, 9, South, -92, -93, North
0, 8, 20, 23, 24, 4, 16, 5, 9, South, -93, -94, North
0, 9, 21, 24, 25, 3, 16, 5, 9, South, -94, -95, West
0, 10, 22, 25, 26, 2, 16, 5, 9, South, -95, -96, West

1, 8, 7, 6, 7, 10, 1, 10, 7, North, 99, 198, East
1, 9, 7, 8, 6, 11, 1, 11, 7, North, 198, 297, East
1, 10, 9, 10, 7, 12, 1, 11, 7, North, 297, 396, East
1, 12, 11, 10, 9, 13, 1, 10, 7, North, 396, 495, East
1, 12, 10, 9, 8, 13, 2, 10, 7, North, 495, 594, North
1, 12, 8, 9, 8, 13, 3, 10, 8, North, 594, 693, North
1, 10, 8, 7, 7, 13, 4, 10, 8, North, 693, 792, North
1, 10, 6, 7, 7, 13, 5, 9, 7, West, 792, 891, North
1, 8, 6, 5, 7, 13, 6, 9, 7, West, 891, 990, North
1, 6, 5, 5, 6, 13, 7, 8, 7, West, 990, 1089, North
1, 6, 7, 6, 8, 13, 8, 8, 7, West, 1089, 1188, North
1, 6, 8, 7, 8, 13, 9, 9, 7, West, 1188, 1287, North
1, 8, 8, 8, 9, 13, 10, 8, 7, West, 1287, 1386, North
1, 9, 9, 9, 10, 13, 11, 8, 7, West, 1386, 1485, North
1, 9, 9, 8, 9, 12, 11, 8, 7, West, 1485, 1584, West
1, 9, 7, 8, 8, 11, 11, 8, 7, South, 1584, 1683, West
1, 7, 5, 7, 7, 10, 11, 9, 7, South, 1683, 1782, West
1, 5, 4, 7, 5, 9, 11, 9, 7, South, 1782, 1881, West
1, 5, 4, 7, 3, 8, 11, 6, 10, West, 1881, 1980, West
1, 4, 4, 7, 2, 7, 11, 6, 10, West, 1980, 2279, West
1, 6, 4, 7, 0, 6, 11, 6, 7, South, 2279, 2278, West
2, 6, 4, 7, 0, 7, 11, 7, 7, South, 2278, 2277, East
2, 5, 5, 9, 0, 8, 11, 9, 7, South, 2277, 2276, East
1, 3, 5, 11, 0, 9, 11, 9, 8, South, 2276, 2275, East
1, 5, 5, 12, 0, 10, 11, 9, 7, South, 2275, 2274, East
1, 5, 4, 10, 0, 9, 11, 9, 7, South, 2274, 2273, West
2, 4, 6, 9, 0, 8, 11, 8, 7, South, 2273, 2272, West
2, 5, 7, 9, 0, 7, 11, 8, 7, South, 2272, 2271, West
2, 5, 7, 11, 0, 8, 11, 9, 7, South, 2271, 2270, East
1, 4, 6, 13, 0, 9, 11, 9, 7, South, 2270, 2269, East
1, 4, 4, 13, 0, 10, 11, 10, 7, South, 2269, 2368, East
1, 3, 4, 11, 0, 10, 10, 10, 7, South, 2368, 2467, South
1, 3, 2, 10, 0, 10, 9, 10, 7, South, 2467, 2666, South
2, 2, 0, 8, 0, 10, 8, 11, 7, East, 2666, 2865, South
3, 0, 0, 8, 0, 10, 7, 5, 4, West, 2865, 2864, South
2, 0, 0, 7, 0, 9, 7, 5, 4, West, 2864, 2863, West
2, 0, 0, 6, 0, 8, 7, 5, 4, West, 2863, 2862, West
1, 0, 0, 6, 0, 7, 7, 5, 3, South, 2862, 2961, West
1, 0, 0, 5, 0, 6, 7, 5, 3, South, 2961, 3060, West
1, 6, 0, 3, 0, 6, 6, 6, 3, South, 3060, 3159, South
