@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 566, South
15, 0, 5, 0, 0, 4, 8, 5, 12, North, 565, West
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 564, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 563, East
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 562, East
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 561, West
15, 0, 5, 0, 0, 4, 8, 5, 12, North, 560, South
16, 0, 6, 0, 0, 4, 7, 5, 12, North, 559, South
15, 0, 5, 0, 0, 4, 8, 5, 12, North, 558, North
16, 0, 6, 0, 0, 4, 7, 5, 12, North, 557, South
15, 0, 5, 0, 0, 4, 8, 5, 12, North, 556, North
14, 0, 4, 0, 0, 4, 9, 5, 12, North, 555, North
13, 0, 3, 0, 0, 5, 9, 5, 12, North, 554, East
14, 0, 4, 0, 0, 5, 8, 5, 12, North, 553, South
13, 0, 5, 0, 0, 6, 8, 5, 12, North, 552, East
12, 0, 4, 0, 0, 6, 9, 5, 12, North, 551, North
11, 0, 5, 0, 0, 7, 9, 5, 12, North, 550, East
10, 0, 6, 0, 0, 8, 9, 5, 12, West, 549, East
11, 0, 5, 0, 0, 8, 10, 5, 12, West, 548, North
12, 0, 4, 0, 0, 8, 11, 5, 12, West, 547, North
13, 0, 3, 0, 0, 8, 12, 5, 12, West, 546, North
14, 0, 2, 0, 0, 7, 12, 5, 12, West, 545, West
