@RELATION pacman-data

@ATTRIBUTE comida-cercana NUMERIC
@ATTRIBUTE dist-fantasma-0 NUMERIC
@ATTRIBUTE dist-fantasma-1 NUMERIC
@ATTRIBUTE dist-fantasma-2 NUMERIC
@ATTRIBUTE dist-fantasma-3 NUMERIC
@ATTRIBUTE pos-pac-X NUMERIC
@ATTRIBUTE pos-pac-Y NUMERIC
@ATTRIBUTE pos-fantasma-cercano-X NUMERIC
@ATTRIBUTE pos-fantasma-cercano-Y NUMERIC
@ATTRIBUTE mejor-direccion {East, West, North, South}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score-siguiente NUMERIC
@ATTRIBUTE direction {East, West, North, South, Stop}

@data
0, 11, 19, 22, 23, 7, 18, 5, 9, South, -8, -9, East
0, 12, 18, 21, 22, 8, 18, 5, 9, South, -9, -10, East
0, 13, 17, 20, 21, 9, 18, 5, 9, South, -10, -11, East
0, 14, 16, 19, 20, 10, 18, 5, 9, South, -11, -12, East
0, 15, 15, 18, 19, 11, 18, 5, 9, South, -12, -13, East
0, 16, 16, 17, 18, 12, 18, 5, 9, South, -13, -14, East
0, 17, 17, 16, 17, 13, 18, 17, 6, South, -14, -15, East
0, 18, 18, 15, 16, 14, 18, 17, 6, South, -15, -16, East
0, 19, 19, 14, 15, 15, 18, 17, 6, South, -16, -17, East
0, 20, 20, 13, 14, 16, 18, 17, 6, South, -17, -18, East
0, 21, 21, 12, 13, 17, 18, 17, 6, South, -18, -19, East
0, 22, 22, 13, 12, 18, 18, 25, 13, East, -19, -20, East
0, 23, 23, 14, 11, 19, 18, 25, 13, East, -20, -21, East
0, 24, 24, 15, 10, 20, 18, 25, 13, East, -21, -22, East
0, 23, 23, 14, 9, 20, 17, 25, 13, East, -22, -23, South
0, 22, 22, 13, 8, 20, 16, 25, 13, East, -23, -24, South
0, 21, 21, 12, 7, 20, 15, 25, 13, East, -24, -25, South
0, 22, 22, 13, 6, 21, 15, 25, 13, East, -25, -26, East
0, 23, 23, 14, 5, 22, 15, 25, 13, East, -26, -27, East
0, 24, 24, 15, 4, 23, 15, 25, 13, East, -27, -28, East
0, 25, 25, 16, 3, 24, 15, 25, 13, South, -28, -29, East
0, 26, 26, 17, 2, 25, 15, 25, 13, South, -29, -30, East
0, 25, 25, 16, 1, 25, 14, 25, 13, South, -30, 169, South
0, 24, 24, 15, 0, 25, 13, 17, 6, West, 169, 168, South
0, 25, 25, 16, 0, 25, 14, 17, 6, West, 168, 167, North
0, 26, 26, 17, 0, 25, 15, 17, 6, South, 167, 166, North
0, 25, 25, 16, 0, 24, 15, 17, 6, South, 166, 165, West
0, 24, 24, 15, 0, 23, 15, 17, 6, South, 165, 164, West
0, 23, 23, 14, 0, 22, 15, 17, 6, South, 164, 163, West
0, 22, 22, 13, 0, 21, 15, 17, 6, South, 163, 162, West
0, 21, 21, 12, 0, 20, 15, 17, 6, South, 162, 161, West
0, 20, 20, 11, 0, 20, 14, 17, 6, South, 161, 160, South
0, 19, 19, 10, 0, 20, 13, 17, 6, South, 160, 159, South
0, 18, 18, 9, 0, 20, 12, 17, 6, South, 159, 158, South
0, 17, 17, 8, 0, 20, 11, 17, 6, South, 158, 157, South
0, 16, 16, 7, 0, 20, 10, 17, 6, South, 157, 156, South
0, 17, 17, 8, 0, 21, 10, 17, 6, West, 156, 155, East
0, 18, 18, 9, 0, 22, 10, 17, 6, West, 155, 154, East
0, 19, 19, 10, 0, 23, 10, 17, 6, West, 154, 153, East
0, 18, 18, 9, 0, 23, 9, 17, 6, West, 153, 152, South
0, 19, 17, 8, 0, 23, 8, 17, 6, West, 152, 151, South
0, 20, 16, 7, 0, 23, 7, 17, 6, West, 151, 150, South
